Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53,No,Non-Travel,421,Human Resources,19,2,Marketing,1,141,2,Male,45,2,4,Laboratory Technician,1,Divorced,12522,19933,0,Y,Yes,11,3,1,80,2,33,4,2,14,4,15,11
30,No,Travel_Rarely,549,Sales,18,1,Medical,1,142,1,Male,38,4,4,Human Resources,1,Married,17115,19743,0,Y,No,23,3,2,80,1,38,2,2,26,3,4,13
49,No,Travel_Rarely,1136,Human Resources,3,3,Other,1,143,2,Male,42,1,2,Research Director,4,Single,7149,17128,8,Y,No,22,3,3,80,3,29,3,4,15,8,11,10
24,No,Travel_Rarely,283,Sales,21,2,Marketing,1,144,3,Female,57,4,3,Manager,1,Married,11224,20280,5,Y,No,21,3,4,80,2,19,4,1,20,12,5,8
39,Yes,Non-Travel,210,Sales,27,2,Life Sciences,1,145,1,Female,56,2,2,Manufacturing Director,2,Married,19716,8659,4,Y,Yes,11,3,3,80,1,38,3,3,0,12,15,7
45,No,Non-Travel,607,Sales,26,1,Marketing,1,146,1,Female,80,2,4,Sales Representative,4,Married,15621,7246,5,Y,No,17,3,1,80,0,22,0,4,28,14,2,11
19,No,Travel_Frequently,1413,Research & Development,16,4,Life Sciences,1,147,1,Male,93,2,3,Laboratory Technician,3,Married,8820,8967,5,Y,Yes,13,3,2,80,1,34,5,4,2,1,5,2
59,No,Non-Travel,394,Research & Development,6,2,Other,1,148,1,Female,81,3,3,Research Director,2,Married,16761,8661,0,Y,No,24,4,4,80,1,22,0,3,11,12,14,14
23,No,Non-Travel,1003,Sales,25,4,Human Resources,1,149,3,Female,67,2,5,Sales Executive,4,Divorced,12032,14416,4,Y,Yes,21,4,4,80,3,38,1,4,27,6,4,7
45,No,Travel_Rarely,1338,Sales,12,4,Other,1,150,2,Female,94,1,5,Laboratory Technician,1,Divorced,16002,2510,8,Y,No,17,3,1,80,0,22,4,2,38,16,3,6
45,No,Travel_Frequently,1073,Research & Development,11,5,Technical Degree,1,151,3,Female,47,4,1,Healthcare Representative,3,Single,12330,10614,3,Y,No,19,4,2,80,3,36,1,3,36,7,9,16
37,No,Non-Travel,731,Human Resources,15,1,Technical Degree,1,152,2,Male,92,4,5,Healthcare Representative,1,Single,14743,4432,2,Y,No,13,4,4,80,3,22,4,3,30,17,8,11
47,No,Non-Travel,1150,Sales,15,4,Technical Degree,1,153,3,Male,80,3,3,Research Scientist,2,Married,18827,3906,0,Y,Yes,13,3,3,80,1,38,5,1,30,14,10,17
28,No,Travel_Rarely,832,Human Resources,16,1,Other,1,154,4,Female,38,3,5,Research Director,2,Single,19310,17554,1,Y,No,12,3,1,80,1,27,3,3,32,14,15,17
45,No,Travel_Rarely,1354,Research & Development,10,5,Medical,1,155,4,Male,42,1,1,Healthcare Representative,4,Single,19006,18448,2,Y,No,20,3,4,80,2,18,4,4,32,4,15,14
42,No,Non-Travel,420,Sales,12,1,Other,1,156,4,Female,69,2,4,Sales Representative,2,Married,11671,6928,3,Y,Yes,11,3,1,80,1,29,0,1,39,1,13,2
56,No,Travel_Frequently,1012,Human Resources,28,2,Human Resources,1,157,4,Female,84,3,5,Sales Representative,3,Divorced,13577,6710,6,Y,Yes,19,3,2,80,2,20,3,4,10,15,7,14
50,Yes,Travel_Frequently,1356,Human Resources,13,4,Marketing,1,158,1,Female,72,4,3,Healthcare Representative,4,Divorced,18617,13540,5,Y,No,16,4,2,80,3,23,5,2,28,4,11,15
18,No,Travel_Rarely,536,Human Resources,4,1,Other,1,159,1,Male,73,3,4,Research Director,3,Single,12222,8124,7,Y,No,16,4,2,80,1,20,0,2,24,5,6,16
44,No,Travel_Rarely,880,Research & Development,7,3,Other,1,160,3,Female,97,3,3,Human Resources,1,Divorced,2386,9837,8,Y,No,18,3,3,80,0,25,3,1,12,11,10,0
30,No,Non-Travel,1176,Research & Development,22,1,Life Sciences,1,161,3,Male,62,2,4,Manufacturing Director,3,Divorced,3634,17583,5,Y,No,21,3,4,80,0,35,4,1,18,4,14,10
58,No,Travel_Rarely,1436,Human Resources,2,4,Life Sciences,1,162,4,Male,53,3,3,Manufacturing Director,3,Single,10110,19184,6,Y,No,15,4,2,80,3,25,4,4,35,19,0,5
20,No,Non-Travel,1404,Human Resources,26,5,Life Sciences,1,163,2,Female,65,1,5,Research Director,2,Married,6133,24447,3,Y,Yes,19,4,3,80,3,32,0,2,27,7,8,8
56,No,Travel_Frequently,825,Research & Development,27,5,Other,1,164,4,Male,39,4,5,Sales Executive,1,Single,11376,8109,1,Y,No,25,4,2,80,1,35,2,1,3,10,15,15
23,No,Travel_Frequently,130,Human Resources,27,4,Medical,1,165,3,Male,49,2,1,Manufacturing Director,2,Single,7581,11909,8,Y,Yes,21,3,2,80,2,3,4,2,2,13,8,5
25,Yes,Non-Travel,436,Human Resources,27,2,Marketing,1,166,4,Female,41,4,4,Manager,1,Single,3967,8659,8,Y,Yes,15,3,4,80,1,8,2,2,37,16,5,11
44,No,Travel_Rarely,282,Research & Development,15,2,Marketing,1,167,3,Male,91,1,1,Manufacturing Director,1,Married,7767,3238,3,Y,No,12,4,3,80,2,7,3,2,36,9,6,12
26,No,Travel_Frequently,1146,Human Resources,8,5,Human Resources,1,168,4,Male,47,1,2,Manager,3,Married,10753,24966,2,Y,Yes,16,3,2,80,1,1,2,4,24,1,12,12
54,No,Travel_Rarely,643,Human Resources,7,5,Medical,1,169,2,Female,92,3,5,Healthcare Representative,2,Married,6901,22907,9,Y,No,25,4,3,80,0,28,0,4,34,2,15,3
50,Yes,Travel_Frequently,1197,Human Resources,15,4,Medical,1,170,4,Female,54,3,4,Human Resources,3,Married,12121,17064,5,Y,Yes,19,3,3,80,0,22,1,2,28,12,2,8
59,Yes,Non-Travel,1133,Research & Development,23,2,Marketing,1,171,2,Male,41,3,1,Human Resources,3,Single,16633,7620,2,Y,Yes,13,3,2,80,2,5,1,2,28,16,4,13
41,No,Non-Travel,759,Human Resources,14,5,Technical Degree,1,172,2,Female,50,4,1,Manufacturing Director,3,Divorced,12707,3486,0,Y,No,20,4,2,80,1,35,0,2,11,2,6,13
32,No,Non-Travel,259,Research & Development,8,2,Life Sciences,1,173,3,Female,54,1,2,Manufacturing Director,1,Single,14333,6681,3,Y,No,14,4,1,80,3,20,6,3,34,9,0,16
49,No,Travel_Frequently,1137,Research & Development,28,5,Life Sciences,1,174,2,Male,40,2,1,Research Director,2,Married,13938,13490,0,Y,Yes,20,3,4,80,2,21,1,3,19,7,11,4
49,No,Travel_Rarely,1301,Sales,12,1,Marketing,1,175,1,Male,93,3,3,Manufacturing Director,2,Divorced,13548,6470,1,Y,No,21,4,2,80,0,8,0,4,16,3,0,1
41,No,Travel_Rarely,511,Sales,13,3,Medical,1,176,1,Female,79,4,5,Research Scientist,3,Single,17115,24003,2,Y,No,18,3,1,80,2,33,4,2,11,12,4,12
58,No,Travel_Rarely,1111,Human Resources,11,1,Human Resources,1,177,1,Male,91,3,1,Research Scientist,1,Divorced,11843,13723,7,Y,Yes,16,4,4,80,1,25,2,3,35,6,8,10
29,No,Travel_Frequently,152,Research & Development,17,5,Technical Degree,1,178,3,Female,78,1,1,Sales Executive,2,Married,6177,15888,9,Y,Yes,23,4,2,80,3,0,1,1,9,6,6,1
56,No,Travel_Frequently,507,Sales,29,3,Marketing,1,179,1,Female,43,2,2,Healthcare Representative,4,Divorced,9211,9177,3,Y,Yes,17,3,3,80,3,35,4,1,17,15,0,0
19,No,Travel_Frequently,946,Human Resources,17,3,Life Sciences,1,180,3,Male,30,1,3,Manager,2,Divorced,9873,15201,3,Y,No,17,3,4,80,2,4,1,2,29,4,12,2
20,No,Travel_Frequently,1145,Sales,24,5,Other,1,181,3,Male,54,4,1,Human Resources,3,Married,5841,7441,9,Y,No,14,3,3,80,1,21,3,3,7,16,12,11
54,No,Travel_Frequently,1153,Sales,4,5,Medical,1,182,1,Female,88,3,5,Healthcare Representative,4,Divorced,8416,20224,8,Y,No,25,4,1,80,1,3,0,1,12,9,14,6
34,No,Travel_Rarely,802,Research & Development,21,2,Other,1,183,2,Female,98,1,5,Manager,1,Single,12633,13719,6,Y,Yes,22,4,2,80,3,1,0,4,30,3,15,0
19,No,Travel_Frequently,359,Research & Development,8,5,Human Resources,1,184,4,Female,34,4,1,Manager,4,Divorced,6885,7397,1,Y,No,16,3,1,80,0,15,4,1,5,13,15,8
19,No,Travel_Frequently,1328,Sales,5,4,Marketing,1,185,3,Female,48,3,3,Laboratory Technician,4,Single,2594,3621,2,Y,Yes,22,4,2,80,1,15,6,4,6,4,11,17
45,Yes,Travel_Rarely,1182,Sales,26,5,Life Sciences,1,186,1,Male,52,2,5,Manufacturing Director,3,Divorced,16393,19945,3,Y,Yes,19,3,2,80,3,21,3,1,20,1,4,5
40,No,Travel_Frequently,875,Research & Development,16,4,Technical Degree,1,187,3,Female,38,1,5,Sales Executive,2,Divorced,4612,24233,3,Y,Yes,13,3,3,80,3,0,2,1,37,13,14,8
54,Yes,Travel_Rarely,1135,Human Resources,4,5,Other,1,188,2,Male,79,3,3,Manufacturing Director,1,Married,14288,19800,9,Y,Yes,18,3,1,80,1,14,3,3,27,17,7,7
49,No,Travel_Rarely,1413,Research & Development,28,2,Technical Degree,1,189,2,Male,45,3,3,Sales Executive,4,Married,19880,6190,7,Y,Yes,17,3,3,80,1,23,6,1,20,10,7,17
50,No,Non-Travel,949,Sales,22,4,Human Resources,1,190,1,Female,62,3,1,Healthcare Representative,3,Single,6861,7054,9,Y,Yes,14,3,3,80,2,3,3,1,20,15,11,14
18,No,Non-Travel,453,Human Resources,29,1,Life Sciences,1,191,3,Male,31,3,4,Research Director,2,Married,6766,3130,9,Y,Yes,20,4,3,80,0,17,5,4,23,17,1,0
36,No,Non-Travel,1198,Sales,15,4,Other,1,192,4,Male,43,1,2,Research Director,4,Married,5358,16071,5,Y,No,23,4,1,80,2,16,2,4,26,15,6,13
19,No,Non-Travel,972,Human Resources,12,2,Human Resources,1,193,4,Female,30,3,4,Healthcare Representative,3,Married,16846,21981,2,Y,Yes,13,3,2,80,2,6,2,1,26,3,9,17
43,No,Travel_Frequently,1090,Sales,5,4,Technical Degree,1,194,3,Male,87,4,4,Research Scientist,3,Married,2914,13936,8,Y,No,24,4,2,80,3,9,3,2,12,0,4,9
49,No,Non-Travel,1364,Human Resources,23,5,Technical Degree,1,195,3,Male,45,1,5,Manager,3,Married,3995,4118,9,Y,No,17,3,1,80,3,0,1,1,28,13,15,5
23,No,Travel_Rarely,1117,Human Resources,16,5,Other,1,196,3,Female,76,3,3,Sales Executive,1,Single,2094,2663,7,Y,No,20,4,2,80,0,1,5,1,38,11,8,16
49,Yes,Travel_Frequently,1277,Sales,14,2,Life Sciences,1,197,1,Female,73,1,5,Sales Representative,2,Single,10684,21018,8,Y,No,19,4,1,80,2,21,1,3,27,9,2,13
21,No,Non-Travel,1219,Human Resources,10,3,Technical Degree,1,198,2,Female,43,4,2,Manufacturing Director,4,Married,17100,17735,4,Y,No,22,3,1,80,2,31,3,1,36,18,0,12
28,No,Travel_Rarely,393,Research & Development,7,5,Marketing,1,199,4,Female,53,4,1,Healthcare Representative,2,Married,2149,21158,2,Y,Yes,20,4,2,80,3,28,1,1,28,3,12,7
34,No,Travel_Frequently,308,Sales,13,1,Human Resources,1,200,1,Female,84,1,2,Manager,2,Single,19430,24578,3,Y,No,13,3,4,80,3,34,2,4,21,19,3,9
55,No,Travel_Frequently,1466,Research & Development,20,2,Other,1,201,3,Female,44,3,5,Sales Executive,4,Divorced,4803,22353,4,Y,No,25,4,3,80,1,16,2,4,35,2,6,8
41,No,Non-Travel,1211,Sales,28,4,Medical,1,202,3,Female,63,3,5,Human Resources,2,Single,16466,21874,8,Y,No,20,3,1,80,2,11,1,4,29,3,0,4
22,No,Travel_Frequently,917,Human Resources,29,4,Medical,1,203,2,Male,31,4,5,Manufacturing Director,1,Divorced,9276,11763,8,Y,Yes,19,3,1,80,0,23,2,4,27,14,1,3
51,No,Travel_Rarely,489,Human Resources,5,1,Life Sciences,1,204,3,Male,56,3,5,Research Director,4,Married,2551,19907,2,Y,No,23,3,4,80,2,29,0,1,22,10,15,5
23,Yes,Travel_Frequently,424,Human Resources,29,5,Marketing,1,205,1,Female,52,4,4,Healthcare Representative,4,Married,17480,10053,6,Y,No,18,3,1,80,3,29,2,2,32,15,13,5
39,No,Travel_Rarely,1039,Sales,3,2,Technical Degree,1,206,1,Male,97,3,1,Research Director,3,Single,10486,19371,5,Y,No,22,3,1,80,1,19,3,3,3,3,15,12
28,No,Travel_Frequently,988,Research & Development,15,1,Medical,1,207,2,Male,43,4,4,Sales Executive,2,Married,19527,24787,3,Y,No,13,3,2,80,2,6,4,3,2,5,4,3
33,No,Non-Travel,1280,Research & Development,4,5,Life Sciences,1,208,1,Female,92,2,5,Research Director,4,Divorced,18839,23705,4,Y,Yes,25,4,2,80,0,37,1,2,31,7,15,7
50,No,Travel_Rarely,767,Sales,15,2,Human Resources,1,209,4,Male,94,3,3,Manufacturing Director,4,Divorced,11745,5845,9,Y,No,18,3,4,80,3,6,5,2,3,12,8,4
26,No,Travel_Frequently,732,Sales,14,4,Marketing,1,210,1,Female,97,3,4,Research Scientist,1,Single,10360,15496,1,Y,Yes,22,4,1,80,1,29,6,3,0,19,13,1
23,No,Travel_Frequently,676,Research & Development,20,2,Marketing,1,211,1,Male,92,3,5,Manager,3,Divorced,14997,8301,6,Y,Yes,14,3,3,80,2,11,1,1,11,3,0,8
33,No,Travel_Frequently,236,Research & Development,19,3,Life Sciences,1,212,1,Female,93,1,5,Research Scientist,4,Single,9310,13885,3,Y,No,16,4,2,80,0,30,6,3,12,4,11,10
46,No,Travel_Rarely,527,Research & Development,13,2,Life Sciences,1,213,4,Male,61,3,1,Healthcare Representative,1,Single,7817,18482,1,Y,No,22,3,3,80,3,17,6,2,33,9,3,10
20,Yes,Travel_Rarely,711,Research & Development,10,3,Technical Degree,1,214,3,Male,42,1,2,Research Scientist,4,Divorced,12568,4288,5,Y,Yes,20,3,3,80,0,1,2,1,28,4,11,6
37,Yes,Travel_Rarely,1010,Sales,21,2,Life Sciences,1,215,1,Male,95,1,4,Laboratory Technician,4,Divorced,10070,22681,1,Y,No,12,4,4,80,2,32,2,3,8,11,13,13
53,Yes,Non-Travel,918,Sales,5,3,Technical Degree,1,216,2,Female,48,4,4,Manager,4,Divorced,3320,9796,9,Y,No,18,3,4,80,3,10,4,1,30,0,2,5
36,No,Non-Travel,240,Human Resources,27,4,Technical Degree,1,217,4,Male,53,1,4,Sales Executive,1,Divorced,8153,9263,1,Y,No,23,3,1,80,2,33,4,1,6,9,13,3
43,Yes,Travel_Rarely,1206,Research & Development,23,5,Other,1,218,2,Male,40,1,5,Manager,2,Divorced,8589,14777,6,Y,Yes,19,3,4,80,1,15,5,2,12,4,4,5
20,Yes,Travel_Frequently,276,Human Resources,20,3,Marketing,1,219,1,Female,88,2,1,Laboratory Technician,4,Divorced,17589,10770,0,Y,Yes,17,3,2,80,2,34,3,4,1,18,4,2
36,No,Non-Travel,297,Sales,29,3,Human Resources,1,220,2,Female,44,3,5,Sales Representative,4,Divorced,5607,22343,6,Y,No,18,4,1,80,1,32,0,3,32,18,9,5
37,No,Travel_Rarely,723,Sales,20,4,Marketing,1,221,1,Male,39,1,5,Research Scientist,2,Married,12317,9385,9,Y,No,17,3,1,80,2,20,3,2,6,19,1,2
49,No,Travel_Frequently,790,Human Resources,25,3,Marketing,1,222,4,Male,70,3,3,Manager,4,Single,12432,16862,4,Y,Yes,21,4,3,80,0,19,5,3,17,11,4,0
24,No,Non-Travel,500,Research & Development,6,1,Other,1,223,2,Male,56,1,1,Research Director,3,Single,2400,10464,0,Y,Yes,20,3,3,80,0,7,1,4,7,15,8,17
58,No,Travel_Frequently,570,Research & Development,4,4,Technical Degree,1,224,2,Male,89,4,4,Sales Executive,4,Divorced,18746,23722,5,Y,Yes,14,3,3,80,3,25,2,4,11,4,4,3
50,No,Travel_Frequently,317,Research & Development,2,1,Technical Degree,1,225,1,Female,81,2,2,Human Resources,3,Single,5851,6881,6,Y,Yes,11,3,1,80,0,32,3,4,29,16,14,5
57,Yes,Travel_Frequently,1028,Research & Development,22,4,Life Sciences,1,226,1,Male,57,1,4,Healthcare Representative,2,Divorced,12498,22338,0,Y,Yes,13,3,4,80,0,25,6,4,8,13,10,16
56,No,Travel_Frequently,731,Human Resources,16,3,Other,1,227,3,Male,94,3,5,Healthcare Representative,1,Married,2084,18018,8,Y,Yes,17,4,4,80,1,36,2,3,27,11,9,17
35,No,Non-Travel,1050,Human Resources,18,1,Life Sciences,1,228,1,Female,46,4,1,Healthcare Representative,2,Single,3824,17691,6,Y,Yes,21,3,4,80,0,29,2,1,3,12,1,5
57,No,Non-Travel,1005,Sales,5,3,Other,1,229,1,Male,73,3,1,Manager,4,Single,14077,22311,0,Y,No,21,3,1,80,1,30,3,1,38,13,6,1
18,No,Non-Travel,274,Research & Development,22,4,Life Sciences,1,230,3,Male,39,4,1,Research Scientist,3,Married,17930,11367,2,Y,Yes,17,3,1,80,1,32,3,4,16,4,15,11
28,No,Travel_Rarely,122,Research & Development,4,3,Medical,1,231,1,Male,92,2,3,Manager,1,Married,14549,23295,4,Y,Yes,21,4,1,80,1,10,6,4,10,4,14,11
45,No,Non-Travel,334,Research & Development,13,1,Marketing,1,232,1,Female,76,4,4,Manufacturing Director,4,Married,12113,2413,3,Y,No,23,4,1,80,2,4,6,1,1,17,5,3
42,No,Travel_Frequently,1136,Human Resources,19,1,Marketing,1,233,3,Female,67,3,3,Research Director,1,Single,17132,19934,1,Y,No,13,4,1,80,1,1,4,2,22,13,6,15
40,No,Non-Travel,1224,Research & Development,23,3,Human Resources,1,234,4,Male,99,3,2,Human Resources,1,Single,10822,22910,0,Y,No,11,4,4,80,2,12,5,4,21,17,7,9
48,No,Travel_Frequently,1028,Human Resources,2,2,Technical Degree,1,235,4,Male,82,1,5,Human Resources,4,Married,9418,16714,3,Y,Yes,20,3,1,80,1,17,5,1,25,19,9,9
47,No,Travel_Rarely,622,Research & Development,13,4,Human Resources,1,236,1,Female,73,4,3,Research Director,2,Married,4371,9141,6,Y,Yes,19,3,4,80,2,25,6,2,11,0,4,6
59,Yes,Travel_Frequently,530,Research & Development,11,4,Medical,1,237,1,Male,83,3,3,Laboratory Technician,4,Married,9068,15182,3,Y,No,22,4,1,80,3,24,0,1,31,6,1,13
52,No,Travel_Frequently,892,Sales,22,3,Human Resources,1,238,3,Male,49,1,5,Manufacturing Director,4,Married,13859,24955,8,Y,No,16,3,4,80,3,13,6,2,8,16,6,6
24,Yes,Travel_Frequently,632,Research & Development,29,2,Marketing,1,239,3,Female,60,2,1,Sales Executive,2,Married,9464,18225,7,Y,No,23,3,2,80,2,4,4,3,4,2,6,11
33,No,Travel_Rarely,1078,Research & Development,4,1,Technical Degree,1,240,4,Female,36,3,5,Human Resources,3,Divorced,19110,3946,7,Y,Yes,23,4,2,80,3,1,0,2,25,9,7,10
43,No,Non-Travel,1416,Sales,22,5,Medical,1,241,2,Female,87,1,4,Healthcare Representative,4,Married,15548,23587,4,Y,No,22,3,4,80,0,3,3,4,6,6,6,16
19,No,Non-Travel,909,Human Resources,20,5,Marketing,1,242,1,Male,39,3,5,Manager,1,Divorced,9121,2191,0,Y,Yes,17,4,2,80,1,11,5,2,28,11,15,10
18,No,Travel_Rarely,1012,Human Resources,20,3,Life Sciences,1,243,2,Male,39,4,1,Laboratory Technician,4,Single,11840,18424,8,Y,Yes,11,4,2,80,2,10,5,2,32,14,9,2
29,No,Travel_Frequently,1224,Research & Development,15,2,Other,1,244,2,Male,68,1,5,Research Director,4,Single,6312,16175,1,Y,Yes,11,4,4,80,3,3,0,4,23,15,6,3
22,Yes,Non-Travel,1427,Human Resources,4,2,Medical,1,245,3,Male,57,4,3,Sales Representative,1,Divorced,10000,12051,5,Y,Yes,14,4,1,80,3,8,1,3,24,7,13,7
54,No,Travel_Rarely,970,Research & Development,9,4,Technical Degree,1,246,1,Female,59,2,2,Sales Executive,2,Married,11461,7892,9,Y,No,17,4,1,80,0,9,4,2,30,5,12,13
49,No,Non-Travel,639,Sales,7,1,Human Resources,1,247,1,Male,66,4,3,Healthcare Representative,3,Single,2318,5449,4,Y,No,24,4,4,80,1,26,4,3,28,3,8,13
26,Yes,Travel_Rarely,1123,Sales,19,2,Human Resources,1,248,3,Male,96,1,2,Human Resources,3,Married,17329,10327,9,Y,No,21,3,3,80,0,5,4,1,4,10,7,15
58,No,Travel_Frequently,1478,Research & Development,19,5,Medical,1,249,2,Female,72,3,5,Manager,1,Married,17791,7909,7,Y,Yes,25,3,3,80,2,14,5,1,37,16,14,14
52,No,Non-Travel,1426,Sales,6,1,Technical Degree,1,250,3,Female,81,1,4,Research Director,2,Divorced,16372,14393,2,Y,No,21,3,2,80,3,30,2,4,10,1,1,11
36,No,Travel_Rarely,326,Sales,6,1,Medical,1,251,4,Male,85,4,5,Sales Executive,4,Single,17935,3941,5,Y,Yes,18,4,3,80,3,21,5,3,31,5,1,15
33,Yes,Non-Travel,1359,Research & Development,20,3,Technical Degree,1,252,1,Female,97,4,1,Sales Representative,4,Single,17701,6221,5,Y,Yes,20,4,2,80,3,5,2,4,7,3,6,4
20,No,Non-Travel,972,Research & Development,15,2,Human Resources,1,253,4,Female,38,3,5,Laboratory Technician,4,Divorced,13250,8543,9,Y,Yes,19,4,1,80,0,32,5,4,19,2,9,11
37,No,Non-Travel,991,Sales,15,3,Marketing,1,254,3,Male,52,2,2,Human Resources,4,Married,3602,24606,2,Y,No,11,3,4,80,0,28,3,2,33,6,14,4
41,No,Non-Travel,1136,Human Resources,25,2,Life Sciences,1,255,1,Male,92,1,3,Manager,4,Married,11047,19942,6,Y,Yes,14,3,1,80,1,20,5,1,7,6,10,9
50,No,Travel_Rarely,309,Human Resources,20,4,Marketing,1,256,4,Male,90,3,4,Healthcare Representative,1,Single,17234,16012,3,Y,Yes,14,4,4,80,2,29,3,4,1,15,12,16
41,No,Travel_Frequently,840,Research & Development,9,3,Life Sciences,1,257,4,Male,69,3,5,Research Director,4,Divorced,9532,4121,4,Y,No,13,4,3,80,1,20,2,2,20,1,14,14
28,No,Travel_Rarely,496,Research & Development,4,3,Human Resources,1,258,2,Female,73,3,5,Research Director,4,Divorced,9366,19412,8,Y,No,17,4,1,80,1,35,4,2,14,7,9,7
25,No,Travel_Rarely,1223,Human Resources,18,5,Marketing,1,259,1,Female,53,1,3,Laboratory Technician,2,Married,4648,13726,5,Y,No,11,4,1,80,3,21,2,3,5,14,2,7
53,No,Travel_Rarely,130,Sales,18,3,Marketing,1,260,4,Male,80,1,4,Research Scientist,4,Married,8903,7656,9,Y,Yes,19,4,2,80,0,19,0,1,4,15,0,7
55,No,Travel_Frequently,997,Human Resources,5,2,Medical,1,261,4,Male,87,1,5,Research Scientist,3,Divorced,19486,10967,3,Y,Yes,23,3,4,80,2,21,4,3,2,0,8,9
57,No,Non-Travel,748,Human Resources,20,5,Other,1,262,2,Female,62,2,5,Healthcare Representative,1,Single,15788,21422,7,Y,No,18,4,3,80,1,39,5,3,15,9,15,12
37,No,Non-Travel,428,Human Resources,23,3,Human Resources,1,263,4,Male,45,3,2,Sales Representative,1,Married,4481,17764,8,Y,Yes,12,4,1,80,2,10,5,4,34,6,13,15
52,No,Non-Travel,1289,Human Resources,11,3,Technical Degree,1,264,4,Male,51,4,2,Research Director,1,Divorced,3820,17873,9,Y,Yes,12,4,4,80,3,30,5,3,8,15,14,8
42,No,Travel_Frequently,1051,Research & Development,5,4,Human Resources,1,265,4,Male,86,4,1,Research Director,3,Divorced,12271,13079,4,Y,No,18,4,3,80,1,39,5,4,34,9,13,15
52,No,Non-Travel,1223,Research & Development,22,3,Technical Degree,1,266,2,Male,91,3,3,Research Director,4,Divorced,5684,20262,1,Y,No,21,3,1,80,0,12,5,3,18,11,13,9
42,No,Travel_Frequently,720,Sales,26,1,Technical Degree,1,267,4,Female,99,4,4,Laboratory Technician,1,Single,5651,4271,5,Y,No,24,4,4,80,1,17,2,2,33,16,2,2
46,No,Non-Travel,1296,Sales,4,5,Life Sciences,1,268,4,Male,59,2,5,Research Scientist,3,Married,12431,3607,7,Y,No,25,4,2,80,3,21,6,1,38,12,0,13
35,No,Non-Travel,261,Sales,29,1,Technical Degree,1,269,1,Female,52,2,5,Manufacturing Director,2,Married,12131,21523,4,Y,No,11,4,1,80,1,16,3,1,9,11,5,12
35,No,Travel_Rarely,875,Sales,12,5,Technical Degree,1,270,1,Male,61,1,1,Sales Executive,4,Married,6830,17679,0,Y,No,23,3,4,80,3,37,6,1,9,14,3,3
19,No,Travel_Frequently,1386,Human Resources,2,4,Medical,1,271,2,Male,86,1,5,Laboratory Technician,3,Single,9334,18989,7,Y,No,17,4,3,80,1,24,2,2,19,13,13,3
52,No,Travel_Rarely,373,Research & Development,13,3,Marketing,1,272,3,Female,38,1,3,Human Resources,4,Married,16619,23119,8,Y,No,19,3,3,80,2,31,1,2,0,18,0,5
33,No,Travel_Rarely,1126,Research & Development,10,3,Human Resources,1,273,1,Male,60,1,1,Sales Representative,2,Married,11304,5665,0,Y,Yes,22,4,2,80,0,14,6,3,5,18,15,10
58,No,Travel_Rarely,1151,Sales,9,3,Human Resources,1,274,2,Female,38,1,3,Sales Representative,3,Married,16879,18308,7,Y,Yes,25,4,1,80,3,12,2,3,1,13,3,7
53,Yes,Travel_Frequently,425,Sales,10,5,Technical Degree,1,275,4,Male,42,4,1,Sales Executive,4,Married,19032,7852,9,Y,Yes,13,4,2,80,2,25,4,3,37,17,7,13
50,No,Travel_Frequently,1039,Human Resources,7,3,Other,1,276,4,Male,87,4,5,Sales Representative,3,Single,16585,7462,1,Y,Yes,17,4,4,80,3,10,5,3,32,4,15,7
21,No,Non-Travel,1272,Human Resources,4,1,Human Resources,1,277,2,Male,32,1,1,Sales Representative,1,Divorced,2016,20528,3,Y,Yes,16,4,3,80,1,12,2,1,2,19,10,13
50,No,Travel_Rarely,639,Sales,19,3,Technical Degree,1,278,4,Male,64,2,2,Manufacturing Director,4,Divorced,10308,6270,1,Y,Yes,25,4,2,80,3,32,6,3,35,5,6,6
31,Yes,Non-Travel,587,Research & Development,10,4,Life Sciences,1,279,4,Male,50,4,4,Sales Representative,3,Married,8476,17697,1,Y,Yes,17,4,1,80,3,36,3,2,12,17,14,17
38,Yes,Travel_Rarely,921,Research & Development,3,1,Life Sciences,1,280,3,Female,93,2,5,Research Director,1,Married,7942,19760,9,Y,Yes,17,4,4,80,0,37,6,2,34,13,11,11
37,Yes,Travel_Frequently,1188,Research & Development,25,3,Life Sciences,1,281,4,Female,81,2,4,Laboratory Technician,2,Married,19929,5462,2,Y,Yes,20,4,1,80,2,0,5,2,14,3,0,13
25,Yes,Travel_Frequently,455,Sales,21,3,Technical Degree,1,282,1,Male,63,3,5,Research Scientist,4,Single,4693,17474,7,Y,Yes,11,3,2,80,1,38,6,4,21,0,9,14
24,Yes,Travel_Frequently,1375,Research & Development,29,2,Medical,1,283,4,Male,64,3,4,Sales Representative,4,Married,17562,2347,3,Y,Yes,24,3,3,80,0,26,0,4,3,12,11,17
